"tz_id","druh_mista","mestska_cast","adresa","mista","zabor","lode","prodejni_doba","doba_provozu","druh_zbozi","vice_zaznamu","ulice","cislo_domu","cislo_parcely","ku","cislo_ku","tags"
1100,"TRŽIŠTĚ","Praha 1","Křižovnické náměstí u č. 3/191, část náměstí v okolí sochy Karla IV.","17","120",0,"po-ne9.00 – 24.00","do 30.6.2016příležitostně15 dnů před velikonoční nedělí a 7 dnů po velikonoční neděli,5.5. - 17.5.25.11. -6.1.","velikonoční, mikulášské a vánoční zboží, zboží spojené se svatojánskými slavnostmi Navalis, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., květiny a související sortiment, ovoce, balené nápoje a potraviny, pečivo, cukrovinky, knihy, kalendáře, pohledy, keramika, vyšívané, háčkované a paličkované výrobky, výrobky uměleckých řemesel, výtvarné práce, šperky, koření, kožešiny, rukavice, výrobky ze dřeva, proutí, slámy, kůže, ubrusy, aroma lampy, svíčky",0,"Křižovnické náměstí","3/191","","","","Ovoce, Zelenina;Vánoční trhy;Velikonoční trhy;Upomínkové předměty;Občerstvení;Alkohol;Květiny"
1200,"TRŽIŠTĚ","Praha 1","Malé náměstí – u kašny","30","240",0,"9.00 – 24.00","příležitostně 25.11.- 13.1.","vánoční trhy,vánoční zboží, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., květiny a související sortiment, ovoce, balené nápoje a potraviny, pečivo, cukrovinky, knihy, kalendáře, pohledy, keramika, vyšívané, háčkované a paličkované výrobky, výrobky uměleckých řemesel, výtvarné práce, šperky, koření, kožešiny, rukavice, výrobky ze dřeva, proutí, slámy, kůže, ubrusy, aroma lampy, svíčky",0,"Malé náměstí","","","","","Ovoce, Zelenina;Vánoční trhy;Upomínkové předměty;Občerstvení;Alkohol;Květiny"
1300,"TRŽIŠTĚ","Praha 1","Malostranské nám. - v prostoru nám., parkoviště (velikonoční a vánoční trhy)","25","80",0,"","příležitostně15 dnů před velikonoční nedělí a 7 dnů po velikonoční neděli  a1.12.-31.12.","velikonoční trhyvánoční trhy",0,"","","","","","Vánoční trhy;Velikonoční trhy"
1400,"TRŽIŠTĚ","Praha 1","nám. Republiky, prostor před Celnicí","80","300",0,"","celoročněmimo období pro velikonoční, dušičkové, vánoční trhy","farmářské trhy, produkty lidových uměleckých řemesel z proutí, šustí, dřeva, keramikyobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.",0,"náměstí Republiky","","","","","Farmářské trhy;Občerstvení;Alkohol"
1500,"TRŽIŠTĚ","Praha 1","Široká u č. 3/23,parc. č. 119/2, k. ú. Josefov, nádvoří před vchodem do Pinkasovy synagogy","6","22",0,"po-ne9.00-18.00","celoročně","předměty s židovskou tématikou, o Praze a ČR, pohlednice, kalendáře, obrazy, drobné keramiky, upomínkové předměty, skleněné výrobky, kipy, magnetky, knihy o Praze, knihy s židovskou tématikou,  fotografie, upomínkové předměty a filmy s židovskou tématikou, telefonní karty, jednorázové fotoaparáty, fotopříslušenství, paměťové karty, kazety do kamer, zapůjčování osobních elektronických audio průvodců určených pro prezentaci památek, muzeí, galerií a uměleckých děl, nealkoholické nápoje",0,"Široká","3/23","119/2","","","Půjčovna;Upomínkové předměty;Občerstvení"
1600,"TRŽIŠTĚ","Praha 1","Staroměstské nám.","100","500",0,"po-ne9.00-24.00","příležitostně15 dnů před velikonoční nedělí až 7dnů po velikonoční neděli25.11. - 6.1. následující-ho roku","velikonoční, mikulášské a vánoční zboží, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., květiny a související sortiment, ovoce, balené nápoje a potraviny, pečivo, cukrovinky, knihy, kalendáře, pohledy, keramika, vyšívané, háčkované a paličkované výrobky, výrobky uměleckých řemesel, výtvarné práce, šperky, koření, kožešiny, rukavice, výrobky ze dřeva, proutí, slámy, kůže, ubrusy, aroma lampy, svíčky",0,"Staroměstské náměstí","","","","","Ovoce, Zelenina;Vánoční trhy;Velikonoční trhy;Upomínkové předměty;Občerstvení;Alkohol;Květiny"
1700,"TRŽIŠTĚ","Praha 1","Staroměstské nám. parc.č. 1/2,  k.ú. Staré Město","13","150",0,"po-ne8.00-24.00","celoročně","vánoční, velikonoční, mikulášské a farmářské  zboží, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., květiny a související sortiment, ovoce, balené nápoje a potraviny, pečivo, cukrovinky, zmrzlina, kaštany, knihy, kalendáře, pohledy, keramika, vyšívané, háčkované a paličkované výrobky, výrobky uměleckých řemesel, výtvarné práce, šperky, koření, kožešiny, rukavice, výrobky ze dřeva, proutí, slámy, kůže, ubrusy, aroma lampy, svíčky, pragensie, kovářské práce",0,"Staroměstské náměstí","","1/2","Staré Město","727024","Ovoce, Zelenina;Farmářské trhy;Vánoční trhy;Velikonoční trhy;Upomínkové předměty;Zmrzlina;Občerstvení;Alkohol;Květiny"
1800,"TRŽIŠTĚ","Praha 1","U starého hřbitova","20","40",0,"po-pá, ne8.00-20.00(mimo sobot a židovských svátků)","celoročně","judaika,  pragensie - kresby, grafika, fotografie, pohlednice, knihy, židovské kultovní předměty, upomínkové předměty ze skla, keramiky, smaltu a textilu, zvukové a zvukově obrazové záznamy, produkty z přírodních materiálů a solí Mrtvého moře",0,"U starého hřbitova","","","","","Upomínkové předměty;Textil"
1900,"TRŽIŠTĚ","Praha 1","Václavské nám., dolní část u ulice Na můstku","80","450",0,"po-ne9.00-24.00","příležitostně 15 dnů před velikonoční nedělí až 7 dnů po velikonoční neděli,  14.9. -28.9. a 25.11. - 6. 1. následující-ho roku","velikonoční, mikulášské a vánoční zboží, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.,  květiny a související sortiment, ovoce, balené nápoje a potraviny, pečivo, cukrovinky, knihy, kalendáře, pohledy, keramika, vyšívané, háčkované a paličkované výrobky, výrobky uměleckých řemesel, výtvarné práce, šperky, koření, kožešiny, rukavice, výrobky ze dřeva, proutí, slámy, kůže, ubrusy, aroma lampy, svíčky",0,"Na můstku;Václavské náměstí","","","","","Ovoce, Zelenina;Vánoční trhy;Velikonoční trhy;Upomínkové předměty;Občerstvení;Alkohol;Květiny"
2000,"TRŽIŠTĚ","Praha 2","Bělehradská  u č.  69/288, 67/289, dvory domů","40","300",0,"po-so8.00-20.00","celoročně","ovoce, zelenina,  vejce, nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., textil, obuv, tašky, batohy, domácí potřeby, hračky",0,"Bělehradská","69/288,67/289","","","","Ovoce, Zelenina;Alkohol;Textil"
2100,"TRŽIŠTĚ","Praha 2","Rašínovo nábřeží – náplavka mezi Palackého mostem a železničním mostem","110","1050",0,"čt, so8.00-20.00","celoročně","farmářské trhyvelikonoční trhy, rukodělné výrobky, trhy k významným událostemobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.",0,"Železniční;Palackého most;Rašínovo nábřeží","","","","","Farmářské trhy;Velikonoční trhy;Občerstvení;Alkohol"
2200,"TRŽIŠTĚ","Praha 5","Ostrovského, na ploše vedle budovy č. 464/6, na  parc. č. 2919/6 a 2919/7, k.ú. Smíchov","603 900 30","603 900 30",0,"po-so7.00-19.00nejen ve významné dny a státní svátky","celoročně","průmyslové zboží, elektronika, domácí potřeby,  tisk, knihy, reprografické práce,  papírnictví,  drogerie, parfumerie, bižuterie, hygienické potřeby,  textil,  textilní a kožená galanterie, sluneční brýle,  vše pro domácnost, lůžkoviny, obuv, oděvy,  výroba klíčů, hračky, dárkové předměty, produkty lidových uměleckých řemesel ze skla, železa a kovůovoce a zelenina, pečivo, balené potraviny, točená zmrzlina, občerstvení (stravovací služby), nealkoholické nápoje balené a rozlévanéfarmářské trhy produkty lidových uměleckých řemesel z proutí, šustí, dřeva a keramiky (v části plochy tržiště)",1,"Ostrovského","464/6","2919/6","Smíchov","729051","Ovoce, Zelenina;Farmářské trhy;Zmrzlina;Občerstvení;Textil"
2300,"TRŽIŠTĚ","Praha 6","Prostor mezi železnicí a ul. Dejvická a Václavkova a ul. Pod kaštany a nádražím Praha - Dejvice","50","650",0,"7.00-19.00","celoročně","farmářské trhy velikonoční trhyvánoční trhy",0,"Dejvická;Václavkova;Pod kaštany","","","","","Farmářské trhy;Vánoční trhy;Velikonoční trhy"
2400,"TRŽIŠTĚ","Praha 7","Bubenské nábř.,parc. č. 1188,k.ú. Holešovice, venkovní tržiště v areálu Holešovické tržnice","130","984",0,"","celoročně","květiny, ovoce, zelenina",0,"","","1188","Holešovice","730122","Ovoce, Zelenina;Květiny"
2500,"TRŽIŠTĚ","Praha 7","Jankovcova u č. 49/1037, parc.č. 652/3, k.ú. Holešovice","15","250",0,"po-ne","příležitostně15.11.-15.1.","vánoční trhyobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.",0,"Jankovcova","49/1037","652/3","Holešovice","730122","Vánoční trhy;Občerstvení;Alkohol"
2600,"TRŽIŠTĚ","Praha 13","Trávníčkova, zpevněná plocha nad OC, parc. č. 2160/128, k.ú. Stodůlky","20","300",0,"","celoročně","ovoce, zelenina, tisk, pečivo,kožená galanterie, textil, obuv, drogerie, elektronika, nosiče zvukových a obrazových záznamů, proutěné zboží, hračky, vlasové ozdoby, textil,občerstvení (stravovací služby), květiny, balené potraviny živočišného původu",0,"Trávníčkova","","2160/128","Stodůlky","755541","Ovoce, Zelenina;Občerstvení;Textil;Květiny"
2700,"TRŽIŠTĚ","Praha 15","Kozinova a Kozinovo nám.","","1700",0,"po-ne8.00-20.00","příležitostně","velikonoční trhyvánoční trhy",0,"Kozinova;Kozinovo náměstí","","","","","Vánoční trhy;Velikonoční trhy"
2800,"TRŽIŠTĚ","Praha 15","Milánská, Holoubkovská","","450",0,"po-ne8.00-20.00","příležitostně","farmářské trhyvelikonoční trhyvánoční trhy",0,"Milánská;Holoubkovská","","","","","Farmářské trhy;Vánoční trhy;Velikonoční trhy"
2900,"TRŽIŠTĚ","Praha 15","Selská, Domkářská","","1200",0,"po-ne8.00-20.00","příležitostně","velikonoční trhyvánoční trhy",0,"Selská;Domkářská","","","","","Vánoční trhy;Velikonoční trhy"
3000,"TRŽIŠTĚ","Praha 15","Švehlova, přilehlé parkoviště k NSPark Hostivař","","650",0,"po-ne8.00-21.00","příležitostně","farmářské trhyvelikonoční trhyvánoční trhy",0,"Švehlova","","","","","Farmářské trhy;Vánoční trhy;Velikonoční trhy"
3100,"TRŽIŠTĚ","Praha 15","Veronské nám.","","800",0,"po-ne8.00-20.00","příležitostně","farmářské trhyvelikonoční trhyvánoční trhy",0,"Veronské nám.","","","","","Farmářské trhy;Vánoční trhy;Velikonoční trhy"
3200,"TRŽIŠTĚ","Praha 18","Tupolevova, parc.č. 629/138, parc.č. 629/252, parc.č. 629/251, k.ú. Letňany","","1028",0,"po-pá, ne7.00-18.00","celoročně","ovoce, zelenina, pečivo, textil, vánoční zboží",0,"Tupolevova","","629/251","Letňany","731439","Ovoce, Zelenina;Vánoční trhy;Textil"
3300,"TRŽNÍ MÍSTA","Praha 1","Alšovo nábř., parková část, severně a jižně od Mánesova mostu  parc. č. 998/1 a 1000/1, k.ú. Staré Město","20","20",0,"po-ne10.00-19.00","příležitostně1.3. - 31. 10.","výtvarná díla - grafika, obrazy, umělecké tisky, knihy, výrobky uměleckých a kovářských řemesel",0,"Alšovo nábřeží","","998/1","Staré Město","727024",""
3400,"TRŽNÍ MÍSTA","Praha 1","Alšovo nábř., parc. č. 998/1,  k.ú. Staré Město, v parku na nábřeží,6 m od prvního tržního  místa malířů","1","2",0,"po-ne9.00-22.00","celoročně","lodní lístky na vyhlídkové plavby",0,"Alšovo nábřeží","","998/1","Staré Město","727024","lodní lístky na vyhlídkové plavby"
3500,"TRŽNÍ MÍSTA","Praha 1","Alšovo nábř. – plavidlo (plovoucí zařízení)  kotvící u Mánesova mostu","","",1,"po-ne11.00-24.00","celoročně","občerstvení (stravovací služby)",0,"Alšovo nábřeží","","","","","Občerstvení"
3600,"TRŽNÍ MÍSTA","Praha 1","Alšovo nábř., u přístaviště PVČS, roh Platnéřská, parc. č.  997/6,  k.ú. Staré Město","1","2",0,"","celoročně","lodní lístky na vyhlídkové plavby",0,"Platnéřská;Alšovo nábřeží","","997/6","Staré Město","727024","lodní lístky na vyhlídkové plavby"
3700,"TRŽNÍ MÍSTA","Praha 1","Alšovo nábř. u ústí Mánesova mostu, parc.č. 997/6, k.ú. Staré Město","1","2",0,"","do zahájení rekonstrukce Alšova nábř.","lodní lístky na vyhlídkové plavby",0,"Alšovo nábřeží","","997/6","Staré Město","727024","lodní lístky na vyhlídkové plavby"
3800,"TRŽNÍ MÍSTA","Praha 1","Alšovo nábř. u ústí Mánesova mostu, parc.č. 997/6, k.ú. Staré Město","1","2",0,"","celoročně","lodní lístky na vyhlídkové plavby",0,"Alšovo nábřeží","","997/6","Staré Město","727024","lodní lístky na vyhlídkové plavby"
3900,"TRŽNÍ MÍSTA","Praha 1","Bolzanova proti č. 1/1615 u parku","1","2",0,"","příležitostně1.5. - 30.9.","sezónní ovoce a zelenina",0,"U parku;Bolzanova","1/1615","","","","Ovoce, Zelenina"
4000,"TRŽNÍ MÍSTA","Praha 1","Celetná u č. 34/569, roh Ovocný trh","1","10",0,"po-ne5.00-24.00","celoročně","tisk, tabák",0,"Celetná;Ovocný trh","34/569","","","","Tabák"
4100,"TRŽNÍ MÍSTA","Praha 1","Cihelná u č. 2/102, areál Hergetova cihelna, parc.     č. 710/4, k. ú. Malá Strana","1","25",0,"12.00-22.00","příležitostně1.5. - 31.10.","vyhlídkový upoutaný balon",0,"Cihelná","2/102","710/4","Malá Strana","727091",""
4200,"TRŽNÍ MÍSTA","Praha 1","28.října u č. 10/765","1","3",0,"po-ne9.00–22.00","celoročně","zmrzlina",0,"","28","","","","Zmrzlina"
4300,"TRŽNÍ MÍSTA","Praha 1","Dvořákovo nábř. u schodů na náplavku směr k Rudolfinu","1","2",0,"po-ne10.00.-21.00","celoročně","lodní lístky na vyhlídkové plavby",0,"","","","","","lodní lístky na vyhlídkové plavby"
4400,"TRŽNÍ MÍSTA","Praha 1","Dvořákovo nábř. u schodů na náplavku směr k Rudolfinu","1","2",0,"po-ne10.00-20.00","celoročně","lodní lístky na vyhlídkové plavby",0,"","","","","","lodní lístky na vyhlídkové plavby"
4500,"TRŽNÍ MÍSTA","Praha 1","Dvořákovo nábř. - náplavka u Čechova mostu","1","2",0,"po-ne8.00-20.00","celoročně","lodní lístky na vyhlídkové plavby",0,"Čechova","","","","","lodní lístky na vyhlídkové plavby"
4600,"TRŽNÍ MÍSTA","Praha 1","Dvořákovo nábř. - náplavka - přístav Praha - Střed, plavidla s kombinovaným provozem umístěná v úseku vymezeném ulicemi Nové Mlýny a Na Františku","","",3,"dle provozního řádu přístavu Praha-Střed","celoročně","občerstvení (stravovací služby)",0,"Nové mlýny;Na Františku;Dvořákovo nábřeží","","","","","Občerstvení"
4700,"TRŽNÍ MÍSTA","Praha 1","Havelská x Melantrichova(roh ulic), před objektem č. 19/503","1","6",0,"9.00-22.00","celoročně","trdelník, nealkoholické teplé a studené nápoje",0,"Havelská;Melantrichova","19/503","","","","Občerstvení"
4800,"TRŽNÍ MÍSTA","Praha 1","Havlíčkova u č. 4/1025","1","14",0,"po-ne5.00-24.00","celoročně","tisk, tabák",0,"Havlíčkova","4/1025","","","","Tabák"
4900,"TRŽNÍ MÍSTA","Praha 1","Hradčanské nám.u č. p. 8, vnitřní nádvoří  čtyřkřídlého Martinického paláce","12","25",0,"po-ne8.00-21.00","celoročně","velikonoční, vánoční zboží, výrobky tradičních řemesel (košíkářství, keramika, řezbářství, sklářství, kovářství, tkalcovství), občerstvení (stravovací služby) – pečené kaštany, preclíky, perníky, trdlo, uzeniny",0,"Hradčanské náměstí","8","","","","Vánoční trhy;Velikonoční trhy;Občerstvení"
5000,"TRŽNÍ MÍSTA","Praha 1","Hradčanské nám, vyhlídková terasa u sloupu veřejného osvětlení č. 101604","1","2",0,"","celoročně","fotografické služby",0,"U sloupu;Hradčanské náměstí","101604","","","",""
5100,"TRŽNÍ MÍSTA","Praha 1","Hybernská u č.  13/1014","1","14",0,"po-ne5.00-24.00","celoročně","tisk, tabák",0,"Hybernská","13/1014","","","","Tabák"
5200,"TRŽNÍ MÍSTA","Praha 1","Hybernská, před ČNB","1","4",0,"","celoročně","jízdenky na turistické okružní jízdy Prahou a ČR, turistické informace",0,"Hybernská","","","","",""
5300,"TRŽNÍ MÍSTA","Praha 1","Hybernská, Masarykovo nádraží, v objektu nádraží","10","90",0,"","celoročně","v rozsahu § 2 odst. 1 písm. a), s výjimkou čištění bot, půjčování nemotorových dopravních prostředků",0,"Hybernská;U nádraží","","","","","Půjčovna"
5400,"TRŽNÍ MÍSTA","Praha 1","Jindřišská u č. 5/901, pasáž domu","8","20",0,"po-ne8.00-18.00","celoročně","potraviny farmářského typu",0,"Jindřišská","5/901","","","","Farmářské trhy"
5500,"TRŽNÍ MÍSTA","Praha 1","Jindřišská, před Jindřišskou věží, par. č. 2329,k. ú. Nové Město","4","24",0,"9.00-19.00","příležitostně 7 dní v období Velikonoc vč. velikonoční-ho pondělí  3.12. -23.12.","velikonoční zbožívánoční zboží",0,"Jindřišská","2329","2329","Nové Město","727181","Vánoční trhy;Velikonoční trhy"
5600,"TRŽNÍ MÍSTA","Praha 1","Jindřišská u č.  29/1694","1","6",0,"po-ne5.00-24.00","celoročně","tisk, tabák",0,"Jindřišská","29/1694","","","","Tabák"
5700,"TRŽNÍ MÍSTA","Praha 1","Jindřišská, vedle zastávky MHD směrem od Václavského nám., před bočním vchodem do kostela, nezasahuje do ploch zeleně","1","6",0,"po-ne5.00-24.00","celoročně","tisk, tabák",0,"Jindřišská","","","","","Tabák"
5800,"TRŽNÍ MÍSTA","Praha 1","Jungmannovo nám. u č. 1/761, roh ul. 28.  října","1","10",0,"po-ne5.00-24.00","celoročně","tisk, tabák",0,"","1/761","","","","Tabák"
