Rozdělení míst pro prodej zboží       a poskyto-vání služeb§ 1,Městská částhlavního města Prahy,Adresa místa§ 1 odst. 1,Počet prodej-ních míst a velikost prostoru (záboru) v m2(min. 2 m2)§ 3odst. 1,Prodejní doba§ 4,Doba provozu§ 4,Druh prodávaného zboží nebo poskytované služby§ 2
TRŽIŠTĚ,Praha 1,"Křižovnické náměstí u č. 3/191, část náměstí v okolí sochy Karla IV.",17120 m2,po-ne9.00 – 24.00,"do 30.6.2016příležitostně15 dnů před velikonoční nedělí a 7 dnů po velikonoční neděli,5.5. - 17.5.25.11. -6.1.","velikonoční, mikulášské a vánoční zboží, zboží spojené se svatojánskými slavnostmi Navalis, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., květiny a související sortiment, ovoce, balené nápoje a potraviny, pečivo, cukrovinky, knihy, kalendáře, pohledy, keramika, vyšívané, háčkované a paličkované výrobky, výrobky uměleckých řemesel, výtvarné práce, šperky, koření, kožešiny, rukavice, výrobky ze dřeva, proutí, slámy, kůže, ubrusy, aroma lampy, svíčky"
TRŽIŠTĚ,Praha 1,Malé náměstí – u kašny,30240 m2,9.00 – 24.00,příležitostně 25.11.- 13.1.,"vánoční trhy,vánoční zboží, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., květiny a související sortiment, ovoce, balené nápoje a potraviny, pečivo, cukrovinky, knihy, kalendáře, pohledy, keramika, vyšívané, háčkované a paličkované výrobky, výrobky uměleckých řemesel, výtvarné práce, šperky, koření, kožešiny, rukavice, výrobky ze dřeva, proutí, slámy, kůže, ubrusy, aroma lampy, svíčky"
TRŽIŠTĚ,Praha 1,"Malostranské nám. - v prostoru nám., parkoviště (velikonoční a vánoční trhy)",25 80 m2,,příležitostně15 dnů před velikonoční nedělí a 7 dnů po velikonoční neděli  a1.12.-31.12.,velikonoční trhyvánoční trhy
TRŽIŠTĚ,Praha 1,"nám. Republiky, prostor před Celnicí",80300 m2,,"celoročněmimo období pro velikonoční, dušičkové, vánoční trhy","farmářské trhy, produkty lidových uměleckých řemesel z proutí, šustí, dřeva, keramikyobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽIŠTĚ,Praha 1,"Široká u č. 3/23,parc. č. 119/2, k. ú. Josefov, nádvoří před vchodem do Pinkasovy synagogy",622 m2,po-ne9.00-18.00,celoročně,"předměty s židovskou tématikou, o Praze a ČR, pohlednice, kalendáře, obrazy, drobné keramiky, upomínkové předměty, skleněné výrobky, kipy, magnetky, knihy o Praze, knihy s židovskou tématikou,  fotografie, upomínkové předměty a filmy s židovskou tématikou, telefonní karty, jednorázové fotoaparáty, fotopříslušenství, paměťové karty, kazety do kamer, zapůjčování osobních elektronických audio průvodců určených pro prezentaci památek, muzeí, galerií a uměleckých děl, nealkoholické nápoje"
TRŽIŠTĚ,Praha 1,Staroměstské nám.,100500 m2,po-ne9.00-24.00,příležitostně15 dnů před velikonoční nedělí až 7dnů po velikonoční neděli25.11. - 6.1. následující-ho roku,"velikonoční, mikulášské a vánoční zboží, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., květiny a související sortiment, ovoce, balené nápoje a potraviny, pečivo, cukrovinky, knihy, kalendáře, pohledy, keramika, vyšívané, háčkované a paličkované výrobky, výrobky uměleckých řemesel, výtvarné práce, šperky, koření, kožešiny, rukavice, výrobky ze dřeva, proutí, slámy, kůže, ubrusy, aroma lampy, svíčky"
TRŽIŠTĚ,Praha 1,"Staroměstské nám. parc.č. 1/2,  k.ú. Staré Město",13150 m2,po-ne8.00-24.00,celoročně,"vánoční, velikonoční, mikulášské a farmářské  zboží, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., květiny a související sortiment, ovoce, balené nápoje a potraviny, pečivo, cukrovinky, zmrzlina, kaštany, knihy, kalendáře, pohledy, keramika, vyšívané, háčkované a paličkované výrobky, výrobky uměleckých řemesel, výtvarné práce, šperky, koření, kožešiny, rukavice, výrobky ze dřeva, proutí, slámy, kůže, ubrusy, aroma lampy, svíčky, pragensie, kovářské práce"
TRŽIŠTĚ,Praha 1,U starého hřbitova,2040 m2,"po-pá, ne8.00-20.00(mimo sobot a židovských svátků)",celoročně,"judaika,  pragensie - kresby, grafika, fotografie, pohlednice, knihy, židovské kultovní předměty, upomínkové předměty ze skla, keramiky, smaltu a textilu, zvukové a zvukově obrazové záznamy, produkty z přírodních materiálů a solí Mrtvého moře"
TRŽIŠTĚ,Praha 1,"Václavské nám., dolní část u ulice Na můstku",80450 m2,po-ne9.00-24.00,"příležitostně 15 dnů před velikonoční nedělí až 7 dnů po velikonoční neděli,  14.9. -28.9. a 25.11. - 6. 1. následující-ho roku","velikonoční, mikulášské a vánoční zboží, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.,  květiny a související sortiment, ovoce, balené nápoje a potraviny, pečivo, cukrovinky, knihy, kalendáře, pohledy, keramika, vyšívané, háčkované a paličkované výrobky, výrobky uměleckých řemesel, výtvarné práce, šperky, koření, kožešiny, rukavice, výrobky ze dřeva, proutí, slámy, kůže, ubrusy, aroma lampy, svíčky"
TRŽIŠTĚ,Praha 2,"Bělehradská  u č.  69/288, 67/289, dvory domů",40300 m2,po-so8.00-20.00,celoročně,"ovoce, zelenina,  vejce, nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., textil, obuv, tašky, batohy, domácí potřeby, hračky"
TRŽIŠTĚ,Praha 2,Rašínovo nábřeží – náplavka mezi Palackého mostem a železničním mostem,1101050 m2,"čt, so8.00-20.00",celoročně,"farmářské trhyvelikonoční trhy, rukodělné výrobky, trhy k významným událostemobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽIŠTĚ,Praha 5,"Ostrovského, na ploše vedle budovy č. 464/6, na  parc. č. 2919/6 a 2919/7, k.ú. Smíchov",603 900 m230,po-so7.00-19.00nejen ve významné dny a státní svátky,celoročně,"průmyslové zboží, elektronika, domácí potřeby,  tisk, knihy, reprografické práce,  papírnictví,  drogerie, parfumerie, bižuterie, hygienické potřeby,  textil,  textilní a kožená galanterie, sluneční brýle,  vše pro domácnost, lůžkoviny, obuv, oděvy,  výroba klíčů, hračky, dárkové předměty, produkty lidových uměleckých řemesel ze skla, železa a kovůovoce a zelenina, pečivo, balené potraviny, točená zmrzlina, občerstvení (stravovací služby), nealkoholické nápoje balené a rozlévanéfarmářské trhy produkty lidových uměleckých řemesel z proutí, šustí, dřeva a keramiky (v části plochy tržiště)"
TRŽIŠTĚ,Praha 6,Prostor mezi železnicí a ul. Dejvická a Václavkova a ul. Pod kaštany a nádražím Praha - Dejvice,50650 m2,7.00-19.00,celoročně,farmářské trhy velikonoční trhyvánoční trhy
TRŽIŠTĚ,Praha 7,"Bubenské nábř.,parc. č. 1188,k.ú. Holešovice, venkovní tržiště v areálu Holešovické tržnice",130 984 m2,,celoročně,"květiny, ovoce, zelenina"
TRŽIŠTĚ,Praha 7,"Jankovcova u č. 49/1037, parc.č. 652/3, k.ú. Holešovice",15 250 m2,po-ne,příležitostně15.11.-15.1.,"vánoční trhyobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽIŠTĚ,Praha 13,"Trávníčkova, zpevněná plocha nad OC, parc. č. 2160/128, k.ú. Stodůlky",20 300 m2,,celoročně,"ovoce, zelenina, tisk, pečivo,kožená galanterie, textil, obuv, drogerie, elektronika, nosiče zvukových a obrazových záznamů, proutěné zboží, hračky, vlasové ozdoby, textil,občerstvení (stravovací služby), květiny, balené potraviny živočišného původu"
TRŽIŠTĚ,Praha 15,Kozinova a Kozinovo nám.,1 700 m2,po-ne8.00-20.00,příležitostně,velikonoční trhyvánoční trhy
TRŽIŠTĚ,Praha 15,"Milánská, Holoubkovská",450 m2,po-ne8.00-20.00,příležitostně,farmářské trhyvelikonoční trhyvánoční trhy
TRŽIŠTĚ,Praha 15,"Selská, Domkářská",1 200 m2,po-ne8.00-20.00,příležitostně,velikonoční trhyvánoční trhy
TRŽIŠTĚ,Praha 15,"Švehlova, přilehlé parkoviště k NSPark Hostivař",650 m2,po-ne8.00-21.00,příležitostně,farmářské trhyvelikonoční trhyvánoční trhy
TRŽIŠTĚ,Praha 15,Veronské nám.,800 m2,po-ne8.00-20.00,příležitostně,farmářské trhyvelikonoční trhyvánoční trhy
TRŽIŠTĚ,Praha 18,"Tupolevova, parc.č. 629/138, parc.č. 629/252, parc.č. 629/251, k.ú. Letňany",1 028 m2,"po-pá, ne7.00-18.00",celoročně,"ovoce, zelenina, pečivo, textil, vánoční zboží"
TRŽNÍ MÍSTA,Praha 1,"Alšovo nábř., parková část, severně a jižně od Mánesova mostu  parc. č. 998/1 a 1000/1, k.ú. Staré Město",20        20m2,po-ne10.00-19.00,příležitostně1.3. - 31. 10.,"výtvarná díla - grafika, obrazy, umělecké tisky, knihy, výrobky uměleckých a kovářských řemesel"
TRŽNÍ MÍSTA,Praha 1,"Alšovo nábř., parc. č. 998/1,  k.ú. Staré Město, v parku na nábřeží,6 m od prvního tržního  místa malířů",12 m2,po-ne9.00-22.00,celoročně,lodní lístky na vyhlídkové plavby
TRŽNÍ MÍSTA,Praha 1,Alšovo nábř. – plavidlo (plovoucí zařízení)  kotvící u Mánesova mostu,1plavidlo,po-ne11.00-24.00,celoročně,občerstvení (stravovací služby)
TRŽNÍ MÍSTA,Praha 1,"Alšovo nábř., u přístaviště PVČS, roh Platnéřská, parc. č.  997/6,  k.ú. Staré Město",12 m2,,celoročně,lodní lístky na vyhlídkové plavby
TRŽNÍ MÍSTA,Praha 1,"Alšovo nábř. u ústí Mánesova mostu, parc.č. 997/6, k.ú. Staré Město",12 m2,,do zahájení rekonstrukce Alšova nábř.,lodní lístky na vyhlídkové plavby
TRŽNÍ MÍSTA,Praha 1,"Alšovo nábř. u ústí Mánesova mostu, parc.č. 997/6, k.ú. Staré Město",12 m2,,celoročně,lodní lístky na vyhlídkové plavby
TRŽNÍ MÍSTA,Praha 1,Bolzanova proti č. 1/1615 u parku,12 m2,,příležitostně1.5. - 30.9.,sezónní ovoce a zelenina
TRŽNÍ MÍSTA,Praha 1,"Celetná u č. 34/569, roh Ovocný trh",110 m2,po-ne5.00-24.00,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,"Cihelná u č. 2/102, areál Hergetova cihelna, parc.     č. 710/4, k. ú. Malá Strana",125  m2,12.00-22.00,příležitostně1.5. - 31.10.,vyhlídkový upoutaný balon
TRŽNÍ MÍSTA,Praha 1,28.října u č. 10/765,13 m2,po-ne9.00–22.00,celoročně,zmrzlina
TRŽNÍ MÍSTA,Praha 1,Dvořákovo nábř. u schodů na náplavku směr k Rudolfinu,12 m2,po-ne10.00.-21.00,celoročně,lodní lístky na vyhlídkové plavby
TRŽNÍ MÍSTA,Praha 1,Dvořákovo nábř. u schodů na náplavku směr k Rudolfinu,12 m2,po-ne10.00-20.00,celoročně,lodní lístky na vyhlídkové plavby
TRŽNÍ MÍSTA,Praha 1,Dvořákovo nábř. - náplavka u Čechova mostu,12 m2,po-ne8.00-20.00,celoročně,lodní lístky na vyhlídkové plavby
TRŽNÍ MÍSTA,Praha 1,"Dvořákovo nábř. - náplavka - přístav Praha - Střed, plavidla s kombinovaným provozem umístěná v úseku vymezeném ulicemi Nové Mlýny a Na Františku",max. 3 plavidla,dle provozního řádu přístavu Praha-Střed,celoročně,občerstvení (stravovací služby)
TRŽNÍ MÍSTA,Praha 1,"Havelská x Melantrichova(roh ulic), před objektem č. 19/503",16 m2,9.00-22.00,celoročně,"trdelník, nealkoholické teplé a studené nápoje"
TRŽNÍ MÍSTA,Praha 1,Havlíčkova u č. 4/1025,114 m2,po-ne5.00-24.00,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,"Hradčanské nám.u č. p. 8, vnitřní nádvoří  čtyřkřídlého Martinického paláce",1225 m2,po-ne8.00-21.00,celoročně,"velikonoční, vánoční zboží, výrobky tradičních řemesel (košíkářství, keramika, řezbářství, sklářství, kovářství, tkalcovství), občerstvení (stravovací služby) – pečené kaštany, preclíky, perníky, trdlo, uzeniny"
TRŽNÍ MÍSTA,Praha 1,"Hradčanské nám, vyhlídková terasa u sloupu veřejného osvětlení č. 101604",12 m2,,celoročně,fotografické služby
TRŽNÍ MÍSTA,Praha 1,Hybernská u č.  13/1014,114 m2,po-ne5.00-24.00,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,"Hybernská, před ČNB",14 m2,,celoročně,"jízdenky na turistické okružní jízdy Prahou a ČR, turistické informace"
TRŽNÍ MÍSTA,Praha 1,"Hybernská, Masarykovo nádraží, v objektu nádraží",10       90 m2,,celoročně,"v rozsahu § 2 odst. 1 písm. a), s výjimkou čištění bot, půjčování nemotorových dopravních prostředků"
TRŽNÍ MÍSTA,Praha 1,"Jindřišská u č. 5/901, pasáž domu",820 m2,po-ne8.00-18.00,celoročně,potraviny farmářského typu
TRŽNÍ MÍSTA,Praha 1,"Jindřišská, před Jindřišskou věží, par. č. 2329,k. ú. Nové Město",424 m2,9.00-19.00,příležitostně 7 dní v období Velikonoc vč. velikonoční-ho pondělí  3.12. -23.12.,velikonoční zbožívánoční zboží
TRŽNÍ MÍSTA,Praha 1,Jindřišská u č.  29/1694,16 m2,po-ne5.00-24.00,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,"Jindřišská, vedle zastávky MHD směrem od Václavského nám., před bočním vchodem do kostela, nezasahuje do ploch zeleně",16 m2,po-ne5.00-24.00,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,"Jungmannovo nám. u č. 1/761, roh ul. 28.  října",110 m2,po-ne5.00-24.00,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,"Jungmannovo nám., u bočního vchodu kostela Panny Marie Sněžné",13 m2,,příležitostně2.6.- 3.6.,"drobné předměty vyrobené v chráněné dílně, publikace"
TRŽNÍ MÍSTA,Praha 1,Jungmannovo nám. proti č. 4/764,12  m2,,příležitostně20 dní před vánočními a velikonoční-mi svátkya sv. Valentinem,"staročeské cukrovinky, zdobené perníčky – ruční práce, pražené oříškové plody, turecký med"
TRŽNÍ MÍSTA,Praha 1,"Jungmannovo nám. u č. 9/771 x 28. října u č. 18/771,  roh",12 m2,6.00-24.00,celoročně,"trdlo, nealkoholické nápoje"
TRŽNÍ MÍSTA,Praha 1,Kampa pod Karlovým mostem - oblouk u Márnice,1020 m2,,celoročně,"velikonoční, mikulášské a vánoční  zboží, výrobky tradičních řemesel (košíkářství, keramika, řezbářství, sklářství, kovářství, tkalcovství), výrobky uměleckých řemesel, výtvarné práce, výrobky ze dřeva, proutí, slámy, kůže, šperky, loutky, květiny a doplňkový sortiment, který se ke květinám váže,  cukrovinky, ovoce, balené potraviny, pečivo       občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 1,"Klárov, u st. metra A, nezasahuje do přístupové a výstupní cesty metra",12 m2,,celoročně,"občerstvení (stravovací služby) - hot dog, balené nealkoholické nápoje"
TRŽNÍ MÍSTA,Praha 1,"Klárov, u st. metra A, nezasahuje do přístupové a výstupní cesty metra",114 m2,po-ne5.00-24.00,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,"Klárov, levý chodník nájezdu na Mánesův most",12 m2,,celoročně,lodní lístky na vyhlídkové plavby
TRŽNÍ MÍSTA,Praha 1,"Klárov, pravý chodník nájezdu na Mánesův most u vchodu do parku směrem k přístavišti lodi ADRIA",12 m2,po-ne9.00-22.00,celoročně,lodní lístky na vyhlídkové plavby
TRŽNÍ MÍSTA,Praha 1,"Křižovnické nám.,parc. č. 1110,  k.ú. Staré Město u Karlova mostu - roh u zídky parčíku- u zídky parčíku před sochou",24 m2,po-ne10.00-22.00,celoročně,lodní lístky na vyhlídkové plavby
TRŽNÍ MÍSTA,Praha 1,"Křižovnické nám.,  před přístupovým schodištěm ke galerii u Křížovníků, parc. č. 70, k.ú. Staré Město",12 m2,po-ne10.00-22.00,příležitostně1.2. - 31.12.,lodní lístky na vyhlídkové plavby
TRŽNÍ MÍSTA,Praha 1,"Křižovnické nám. u ústí Karlova mostu, v prostoru náměstí před domem č. 2/193",12 m2,,celoročně,lodní lístky na vyhlídkové plavby
TRŽNÍ MÍSTA,Praha 1,Loretánská u č. 3/174,12 m2,po-ne8.00-22.00,příležitostně1.4. - 31.10.,občerstvení – zmrzlina
TRŽNÍ MÍSTA,Praha 1,"Loretánské nám., u č. 8/102",12 m2,,příležitostně1.4. - 30.9.,zmrzlina
TRŽNÍ MÍSTA,Praha 1,Loretánské nám. - na ostrůvku proti č. 2/208,24 m2,,celoročně,"výtvarná díla – Praha, upomínkové předměty vztahující se k Praze nebo ČR s výjimkou textilních"
TRŽNÍ MÍSTA,Praha 1,"Maiselova, nádvoří před vstupem do Maiselovy synagogy, parc. č. 11,k. ú. Staré Město",14 m2,po-ne9.00-20.00,celoročně,"vstupenky na koncerty a další kulturní akce pořádané ve Španělské a Maiselově synagoze, propagační předměty související s pořádanými kulturními akcemi"
TRŽNÍ MÍSTA,Praha 1,"Malostranské nám. – dolní část, u stanice TRAM",113 m2,po-ne,příležitostně do doby rekonstrukce náměstí,"květiny a doplňkový sortiment, který se ke květinám váže"
TRŽNÍ MÍSTA,Praha 1,Malostranské nám. - dolní část v prostoru parkoviště,15 m2,po-ne6.00-22.00,celoročně,"občerstvení, nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 1,Malostranské nám. – dolní část v prostoru bývalého parkoviště,110 m2,po-ne6.00-22.00,příležitostnědo 31.10.2016,"občerstvení         (stravovací služby), balené potraviny, nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 1,Malostranské nám. – dolní část v prostoru bývalého parkoviště,110 m2,po-ne6.00-22.00,příležitostnědo 31.10.2016,"občerstvení         (stravovací služby), balené potraviny, nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 1,"Malostranské nám.  u č. 23/37, podloubí domu",24 m2,po-ne8.00-22.00,celoročně,"výtvarná díla – grafika, pohlednice, upomínkové předměty vztahující se k Praze nebo ČR s výjimkou textilních"
TRŽNÍ MÍSTA,Praha 1,Malostranské nám.              dolní část náměstí u č. 25/2,17 m2,,celoročně,"občerstvení         (stravovací služby), balené potraviny, nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 1,Malostranské nám. - horní část u č.  25/2,18 m2,po-ne5.00-24.00,celoročně,"tisk, tabák"
TRŽNÍ MÍSTA,Praha 1,"Melantrichova u č. 2/536, roh Havelská, rozšířený chodník",16 m2,po-ne7.00-21.00,celoročně,"tisk, tabák"
